MetricID,Page,Group,Metric,Classification,RealSource,Formula,Unit,TimeWindow,OrgScoped,Joins,DrillDownSource,AttributionDependency,Status,Category(A/B/C/D),PlausibleExternalSource,DuplicateOf,Notes,StatusNorm,CategoryNorm
ADMI-0804,Admin → Home,Admin,Hiring Interview-Worthy,RAW,same hiringCounts query: stage==='interview_worthy' count,count of hiring_applicants rows where stage='interview_worthy',count,none/point-in-time,yes,hiring_applicants,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0805,Admin → Home,Admin,at-risk renewals,ALERT,"home-admin.tsx renewalsAtRisk (lines 128-133), rendered in the dedicated 'Renewals' HomeSection (lines 242-262)",= same renewalsAtRisk array as the renewal half of ADMI-0801,count,none/point-in-time,yes,clients,/payments (per-client FocusRow links),n/a,LIVE,A,n/a,ADMI-0801 (renewals half is the same computed array reused in two sections),Rendered twice on the same page: once folded into the combined 'Attention Required' alert (ADMI-0801) and again as its own full list in the 'Renewals' section; same underlying renewalsAtRisk array both times.,LIVE,A
ADMI-0806,Admin → Home,Closer,Calls on Calendar,RAW,"src/components/home/home-closer.tsx calls query (lines 87-105): .eq('org_id', orgId).eq('closer_name', repName).gte(scheduled_for, rangeFrom)","count of calls today (todayCalls, filtered scheduled_for=today && !cancelled) attributed to the self-selected closer_name",count,"today or last-7-days (user-selectable timeframe toggle, home-closer.tsx:37-38)","yes - .eq('org_id', orgId) home-closer.tsx:97",calls,/team-calendar,n/a,LIVE,A,n/a,none,"Rep identity is a self-service NAME PICKER (repName, matched loosely against calls.closer_name), not a verified user_id->closer link. Comment at home-closer.tsx:100-104 documents this is a best-effort match, editable by the user via a dropdown, not a hard FK relationship. Worth noting: any closer could technically pick any name.",LIVE,A
ADMI-0807,Admin → Home,Closer,no-show/awaiting-payment alerts,ALERT,home-closer.tsx lines 109-117,two combined signals: noShows = calls where status='no_show' && !no_show_recovered && !recovered_from_call_id; awaitingPayment = calls where payment_plan=true && contract_value_cents>cash_collected_cents && !deposit_cents,count,same rangeFrom as ADMI-0806 (today or last 7 days),yes,calls,/closer,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0808,Admin → Home,Closer,Booked,RAW,home-closer.tsx line 119: booked = calls.length,count of calls attributed to repName in the selected timeframe,count,today or last-7-days (user toggle),yes,calls,none direct (stat tile only),n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0809,Admin → Home,Closer,Showed,RAW,home-closer.tsx line 120: showed = calls.filter(c=>c.showed).length,count of calls.showed=true for repName in timeframe,count,today or last-7-days,yes,calls,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0810,Admin → Home,Closer,Offers,RAW,home-closer.tsx line 121: offers = calls.filter(c=>c.offer_made).length,count of calls.offer_made=true for repName in timeframe,count,today or last-7-days,yes,calls,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0811,Admin → Home,Closer,Closes,RAW,home-closer.tsx line 122: closes = calls.filter(c=>c.closed||c.status==='closed').length,count of closed calls for repName in timeframe,count,today or last-7-days,yes,calls,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0812,Admin → Home,Closer,Cash,RAW,home-closer.tsx line 123: cashCents = calls.reduce(...cash_collected_cents),sum of calls.cash_collected_cents for repName in timeframe,$,today or last-7-days,yes,calls,none direct,n/a,LIVE,A,n/a,"near-dup family (same column as MAIN-0004/ADMI-0798, scoped to one closer)",none,LIVE,A
ADMI-0813,Admin → Home,Manager,Calls Booked,RAW,"src/components/home/home-manager.tsx calls query (lines 27-44): .eq('org_id', orgId).gte/lte(scheduled_for, today)","count of all calls scheduled today (team-wide, not per-rep)",count,today only,yes,calls,none direct,n/a,LIVE,A,n/a,"near-dup of ADMI-0802 Calls Today (same table/window, same page group 'Admin -> Home' but different role view)",none,LIVE,A
ADMI-0814,Admin → Home,Manager,Showed,RAW,home-manager.tsx line 87: showed = calls.filter(c=>c.showed).length,count of today's calls with showed=true (team-wide),count,today only,yes,calls,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0815,Admin → Home,Manager,Offers,RAW,home-manager.tsx line 88: offers = calls.filter(c=>c.offer_made).length,count of today's calls with offer_made=true (team-wide),count,today only,yes,calls,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0816,Admin → Home,Manager,Closes,RAW,home-manager.tsx line 89: closes = calls.filter(c=>c.closed||c.status==='closed').length,count of today's closed calls (team-wide),count,today only,yes,calls,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0817,Admin → Home,Manager,Cash Collected,RAW,"home-manager.tsx line 90: cashToday = calls.reduce(...cash_collected_cents); cashWeek also shown as supporting text (line 91-92, query lines 46-62)",sum of today's calls.cash_collected_cents (team-wide); a secondary 'last 7 days' total also computed and shown as supporting text,$,today (primary tile) + last 7 days (supporting text line),yes,calls,none direct,n/a,LIVE,A,n/a,"near-dup of ADMI-0798/ADMI-0812 (same column, different scope/window)","Two time windows on one tile: the big number is today-only, with a 7-day total as a footnote.",LIVE,A
ADMI-0818,Admin → Home,Manager,Closer Performance table,AGGREGATED,"home-manager.tsx byCloser map (lines 93-106), built from weekCalls query (lines 46-62)",groups last-7-days calls by closer_name; columns Booked/Showed/Closes/Cash are per-closer counts/sums of the same fields as ADMI-0813-0817 but scoped per rep over 7 days instead of team-wide today,table (count/count/count/$ columns),last 7 days (hardcoded from .setDate(-6) to today),"yes - .eq('org_id', orgId) home-manager.tsx:53",calls,table rows only (no further drilldown),n/a,LIVE,A,n/a,"near-dup of MAIN-0073-0075 Top closers (same calls table, same fields, different window/UI)",none,LIVE,A
ADMI-0819,Admin → Home,DM Setter,DMs Sent,RAW,"src/components/home/home-rep-dashboard.tsx activityRows query (lines 144-161): .eq('org_id', orgId).eq('team_member_name', repName).gte/lte(activity_date, rangeFrom, TODAY)",sum(setter_activity.inbound_dms_sent) + sum(setter_activity.outbound_dms_sent) for repName,count,today or last-7-days (user toggle),"yes - .eq('org_id', orgId) home-rep-dashboard.tsx:154",setter_activity,none direct,n/a,LIVE,A,n/a,none,"Self-service name-picker rep identity (repName), same pattern/caveat as ADMI-0806.",LIVE,A
ADMI-0820,Admin → Home,DM Setter,Replies,RAW,home-rep-dashboard.tsx sum('replies') (line 320),sum of setter_activity.replies for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0821,Admin → Home,DM Setter,Qualified,RAW,home-rep-dashboard.tsx sum('qualified_convos') (line 326),sum of setter_activity.qualified_convos for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,near-dup family (same column aggregated org-wide in MAIN-0040/MAIN-0035),none,LIVE,A
ADMI-0822,Admin → Home,DM Setter,Sets,RAW,home-rep-dashboard.tsx sum('sets') (line 332),sum of setter_activity.sets for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,"near-dup family (MAIN-0076 Top setters Sets, org-wide vs per-rep here)",none,LIVE,A
ADMI-0823,Admin → Home,DM Setter,Booked,RAW,home-rep-dashboard.tsx sum('calls_on_calendar') (line 338),sum of setter_activity.calls_on_calendar for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0824,Admin → Home,Inbound Dialer,Dials,RAW,home-rep-dashboard.tsx sum('dials') (line 347); same activityRows query as ADMI-0819 but flavor='inbound_dialer',sum of setter_activity.dials for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,near-dup family (org-wide dials sum is the denominator of MAIN-0036 Pick-up Rate),"Same underlying table/query pattern as DM Setter (setter_activity), branching on role-derived flavor to pick which columns to sum/display.",LIVE,A
ADMI-0825,Admin → Home,Inbound Dialer,Connections,RAW,home-rep-dashboard.tsx sum('connections') (line 353),sum of setter_activity.connections for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,none,none,LIVE,A
ADMI-0826,Admin → Home,Inbound Dialer,Qualified,RAW,home-rep-dashboard.tsx sum('qualified_convos') (line 359),sum of setter_activity.qualified_convos for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,"near-dup of ADMI-0821 (same column, different role flavor)",none,LIVE,A
ADMI-0827,Admin → Home,Inbound Dialer,Booked,RAW,home-rep-dashboard.tsx sum('calls_on_calendar') (line 365),sum of setter_activity.calls_on_calendar for repName,count,today or last-7-days,yes,setter_activity,none direct,n/a,LIVE,A,n/a,"near-dup of ADMI-0823 (same column, different role flavor)",none,LIVE,A
ADMI-0828,Admin → Home,Inbound Dialer,SLA breaches,ALERT,"home-rep-dashboard.tsx DialerAttentionRow() (lines 439-452): untypedDb.from('sla_breach_records').select('id',{count:'exact',head:true}).eq('org_id', orgId).eq('status','open')","count of sla_breach_records rows with status='open' (team-wide, not per-rep; subtitle explicitly says so)",count,"none/point-in-time (all currently-open breaches, no date filter)","yes - .eq('org_id', orgId) home-rep-dashboard.tsx:447",sla_breach_records,/inbound-dialer,n/a,LIVE,A,n/a,near-dup of ADMI-0802-family manager SLA breach count (home-manager.tsx:64-77 queries the identical table/condition),"Explicit UI subtitle (home-rep-dashboard.tsx:271): 'Team-wide - Inbound Dialer leads have no per-rep assignment field to scope this to you specifically' - an honest disclosed limitation, not silently mislabeled as personal.",LIVE,A
ADMI-0829,Admin → Home,Inbound Dialer,callbacks,RAW,"home-rep-dashboard.tsx DialerAttentionRow() (lines 453-471): untypedDb.from('operational_work_items').select(...).eq('org_id', orgId).eq('entity_type','dialer_callback').neq('state','completed')",two sub-counts: dueToday = rows where due_at is today; overdue = rows where due_at < today,count (two buckets: due today / overdue),"none/point-in-time (all open callback work items, no date-range filter beyond due_at comparison)",yes,operational_work_items,/inbound-dialer,n/a,LIVE,A,n/a,none,"Team-wide, same scoping caveat as ADMI-0828 (no per-rep assignment field). Also see DialerFollowUpRows component (src/components/dialer-followup-list.tsx, not read in this pass) which renders the same underlying data as a row list.",LIVE,A
ADMI-0830,Admin → Home,Growth,Leads Generated,RAW,"src/components/home/home-growth.tsx leadsToday query (lines 16-30): .eq('org_id', orgId).gte/lte(created_at, today)",count of leads created today (org-wide),count (given type=DERIVED and unit=% are both wrong),today only,"yes - .eq('org_id', orgId) home-growth.tsx:24",leads,none direct,n/a,LIVE,A,n/a,"near-dup family (MAIN-0017 New Leads is the same leads table, page-range-scoped rather than today-only)","Given type=DERIVED unit=% is wrong: this is a plain RAW count (leadsToday.length), not a computed ratio.",LIVE,A
ADMI-0831,Admin → Home,Growth,Paid Leads,DERIVED,home-growth.tsx line 51: paid = leadsToday.length - organic,Leads Generated minus Organic Leads (i.e. every lead NOT classified Direct/Organic by normalizeAcquisitionSource),count,today only,yes (inherits from ADMI-0830's query),leads,none direct,n/a,LIVE,A,n/a,none,"Computed by subtraction rather than an explicit 'paid' filter: anything not recognized as Direct/Organic (including Unknown/Unattributed) counts as 'paid', which may overstate true paid-channel leads.",LIVE,A
ADMI-0832,Admin → Home,Growth,Organic Leads,DERIVED,"home-growth.tsx lines 48-50: leadsToday.filter(l=>normalizeAcquisitionSource(null,l.source_platform)==='Direct / Organic').length",count of today's leads whose source_platform normalizes to the 'Direct / Organic' acquisition-source category,count,today only,yes,leads,none direct,n/a,LIVE,A,n/a,none,"Uses the same normalizeAcquisitionSource() function from src/lib/acquisition-source.ts that backs the Main Hub's Acquisition Source filter (MAIN-0002), applied here only to classify Direct/Organic vs everything-else.",LIVE,A
ADMI-0833,Admin → Home,Growth,high-reach/no-lead content flags,ALERT,home-growth.tsx contentToday query (lines 32-46) + filter at line 55: contentToday.filter(c=>(c.views??0)>1000 && !c.leads_generated),count of content_metrics rows captured today with views>1000 AND leads_generated is falsy (0/null),count,today only,"yes - .eq('org_id', orgId) home-growth.tsx:40",content_metrics,/content,n/a,LIVE,A,n/a,none,"Threshold (1000 views) is a hardcoded constant in the component, not a workspace-configurable setting (unlike e.g. minCapSample elsewhere in the app): a real signal but with a fixed, non-tunable bar.",LIVE,A
ADMI-0834,Admin → Home,Growth,tracked webinars,RAW,"home-growth.tsx useWebinars() hook (= MAIN-0003's source, src/hooks/use-webinars.ts), webinars.length rendered at line 100",count of all webinars rows for the org (paid + organic + unclassified breakdown shown in the label text),count,none/point-in-time (all webinars regardless of date),"yes - .eq('org_id', orgId) use-webinars.ts:41",webinars,/webinar-analytics,n/a,LIVE,A,n/a,"MAIN-0003 (same underlying webinars table/query, different page)",none,LIVE,A
SALE-0079,Sales Tracking → Leads,Hero pills,Total leads,AGGREGATED,"leads.* rows via src/routes/_authenticated.leads.tsx:538-546 (supabase.from('leads').select(...).eq('org_id', orgId!).order('created_at',{ascending:false}).limit(500)); count of client-filtered `view` array",stats.total = view.length (src/routes/_authenticated.leads.tsx:785),count,"entryRange filter (default 'All time', a local date-range control distinct from the global DateRangeProvider) + all active table filters","yes — .eq('org_id', orgId!) leads.tsx:543","calls (embedded select calls(closer_id,closer_name,scheduled_for)) for callCount/closerName only, not needed for this count",Leads table below (same page),,LIVE,A,,"SALE-0083 (identical value, Stat row's 'Total leads')","Hero pill and Stat row 'Total leads' are the exact same `stats.total` value rendered twice (leads.tsx:913 and :940). devBypass mock fallback (mockLeads()) exists but is DEV-only, gated by import.meta.env.DEV + sessionStorage flag (use-auth.tsx:24,68) — dead in production, does not affect LIVE status.",LIVE,A
SALE-0080,Sales Tracking → Leads,Hero pills,Diamond,AGGREGATED,same `view` array as above,stats.diamond = view.filter(l => l.priority==='diamond' || l.pipeline_stage==='diamond').length (leads.tsx:788-789),count,same as SALE-0079,yes (inherited from leads query),none,"Leads table filtered to diamond (MetricDetailPanel, kind='diamond')",,LIVE,A,,"SALE-0087 (identical value, Stat row's 'Diamond leads')",leads.priority and leads.pipeline_stage are both real columns; a lead counts as diamond if EITHER is set to 'diamond'.,LIVE,A
SALE-0081,Sales Tracking → Leads,Hero pills,Awaiting show,AGGREGATED,same `view` array as above,"stats.booked = view.filter(l => l.status==='call_booked').length, rendered conditionally only when >0 (leads.tsx:786,915-917)",count,same as SALE-0079,yes,none,"Leads table filtered to booked (MetricDetailPanel, kind='booked')",,LIVE,A,,SALE-0085 (identical value/label difference: 'awaiting show' pill vs 'Call booked' stat card),Label says 'awaiting show' but the underlying field is literally leads.status='call_booked' — no distinct 'showed but not yet closed' state is computed here.,LIVE,A
SALE-0082,Sales Tracking → Leads,Pipeline chart,Leads by Pipeline Stage,AGGREGATED,"same `view` array, grouped by pipelineStageInfo(l.status).label (src/lib/lead-pipeline.ts:76-85)","stageComposition: Map<stageLabel,count> built by iterating `view` and bucketing via the real `lead_status` Postgres enum → PIPELINE_STAGE_INFO lookup (leads.tsx:799-808)",count (donut share),same entryRange/filters as `view`,yes (inherited),none,LeadsPipelineDonut click-through sets detailStageFilter → opens leads table filtered to that stage label (leads.tsx:924-930),,LIVE,A,,,"Real donut off the actual lead_status enum (dm_received/qualified/pre_call_assets_sent/call_booked/showed/closed/disqualified/follow_up/no_show/ghosted), NOT the page's separate STATUS_OPTIONS/BUCKET_STATUSES vocabulary (opt_in/rescheduling/lt_closed/etc) — the two vocabularies only partially overlap (lead-pipeline.ts:1-14 documents this as a known, pre-existing data-integrity mismatch).",LIVE,A
SALE-0083,Sales Tracking → Leads,Stat row,Total leads,AGGREGATED,same as SALE-0079,stats.total = view.length,count,same as SALE-0079,yes,none,click → MetricDetailPanel(kind='total'),,LIVE,A,,SALE-0079,Duplicate of the hero pill value.,LIVE,A
SALE-0084,Sales Tracking → Leads,Stat row,Available to call,AGGREGATED,view + deriveLeadAvailability (src/lib/lead-pipeline.ts:132-168) + operational_work_items (dialer_callback rows),"stats.available = view.filter(l => availabilityByLeadId.get(l.id)?.bucket !== 'unavailable').length (leads.tsx:790-791). Availability bucket derived purely from lead_status ('unavailable' if stage.availability==='unavailable', else 'followup'/'new'/'attempted' based on status + calls.count + callback due date)",count,same as SALE-0079,"yes — operational_work_items query .eq('org_id',orgId!) leads.tsx:611","calls (embedded, for callCount/lastCallAt) + operational_work_items (entity_type='dialer_callback', keyed by entity_id=lead.id)","AvailableToCallDrawer (leads.tsx:377-...) — dedicated worklist component, not the generic MetricDetailPanel",,LIVE,A,,,"Pure derivation, unit-testable (lead-pipeline.ts header comment) — no dial-attempt table exists so 'available' is inferred from real per-lead calls-join count, not a raw dial-attempt log.",LIVE,A
SALE-0085,Sales Tracking → Leads,Stat row,Call booked,AGGREGATED,same as SALE-0081,stats.booked = view.filter(l=>l.status==='call_booked').length,count,same as SALE-0079,yes,none,click → MetricDetailPanel(kind='booked'),,LIVE,A,,SALE-0081,,LIVE,A
SALE-0086,Sales Tracking → Leads,Stat row,Closed,AGGREGATED,same `view`,stats.closed = view.filter(l=>l.status==='closed').length (leads.tsx:787),count,same as SALE-0079,yes,none,click → MetricDetailPanel(kind='closed'),,LIVE,A,,,,LIVE,A
SALE-0087,Sales Tracking → Leads,Stat row,Diamond leads,AGGREGATED,same as SALE-0080,stats.diamond,count,same as SALE-0079,yes,none,click → MetricDetailPanel(kind='diamond'),,LIVE,A,,SALE-0080,,LIVE,A
SALE-0088,Sales Tracking → Leads,Lead AI Insights,Bottlenecks,OTHER,"src/lib/lead-insights.functions.ts:46-75 (analyzeLeads createServerFn, requireSupabaseAuth-gated) — Gemini (google/gemini-2.5-flash via Lovable AI Gateway) reading real `leads` rows","AI-generated list (up to 3) of friction points from a Gemini prompt over leads(full_name,status,pipeline_stage,priority,application_data,qualification_notes,intent_score,estimated_close_probability,created_at), limit 300, ordered by created_at desc; no numeric formula — free-text analysis, not a computed statistic","count (list length, capped ~3)",orgId + optional from/to passed by caller (LeadInsightsPanel) — not fully confirmed which range LeadInsightsPanel passes,"yes — .eq('org_id', data.orgId) lead-insights.functions.ts:56",none beyond the single leads select,Rendered inline in LeadInsightsPanel (no drill-down to underlying records),,PARTIALLY CONNECTED,A,,"SALE-0089/SALE-0090 (same AI call, different output fields)","Requires LOVABLE_API_KEY env var; throws 'LOVABLE_API_KEY not configured' if unset, and 'AI is not configured'-style error surfaces to UI rather than fabricating output — so classified PARTIALLY CONNECTED (real query + real AI call, but availability depends on an env var and AI content is inherently non-deterministic prose, not a hard metric).",PARTIALLY CONNECTED,A
SALE-0089,Sales Tracking → Leads,Lead AI Insights,Double down,OTHER,"src/lib/lead-insights.functions.ts:46-75 (analyzeLeads createServerFn, requireSupabaseAuth-gated)","Same call as SALE-0088; 'double_down' field — top winning patterns, free-text, no numeric formula","count (list length, capped ~3)",same as SALE-0088,yes,none,none,,PARTIALLY CONNECTED,A,,SALE-0088,Same AI response object as Bottlenecks/Priority leads.,PARTIALLY CONNECTED,A
SALE-0090,Sales Tracking → Leads,Lead AI Insights,Priority leads,OTHER,"src/lib/lead-insights.functions.ts:46-75 (analyzeLeads createServerFn, requireSupabaseAuth-gated)","Same call; 'priority_leads' field — up to 5 {{name,reason}} objects, free-text reason, no score threshold formula","count (list length, capped 5)",same as SALE-0088,yes,none,none,,PARTIALLY CONNECTED,A,,SALE-0088,,PARTIALLY CONNECTED,A
SALE-0091,Sales Tracking → Leads,Table columns,Date/Time,RAW,leads.first_touch_at ?? leads.created_at,,date/timestamp,none/point-in-time (per row),yes (inherited),none,Lead detail dialog on row click,,LIVE,A,,,"Fallback pattern: prefers first_touch_at, falls back to created_at.",LIVE,A
SALE-0092,Sales Tracking → Leads,Table columns,Diamond flag,DIMENSION,"leads.priority (editable <select>, PRIORITY_OPTIONS incl. 'diamond')",,enum,point-in-time,yes,none,inline editable; also feeds isDiamond row highlight,,LIVE,A,,,Writable in-place via updateLead mutation (leads.tsx:581-598).,LIVE,A
SALE-0093,Sales Tracking → Leads,Table columns,Name,RAW,leads.full_name || leads.handle || leads.email (fallback chain) + leads.tags[],,text,point-in-time,yes,none,opens Lead detail dialog,,LIVE,A,,,,LIVE,A
SALE-0094,Sales Tracking → Leads,Table columns,Stage,DIMENSION,leads.pipeline_stage (editable <select>: cold/warm/hot/diamond),,enum,point-in-time,yes,none,inline editable,,LIVE,A,,,"Distinct column from 'Lead Status' below — leads.tsx:1305-1312 comments this is a separate, legacy vocabulary from the real lead_status enum shown as the chip.",LIVE,A
SALE-0095,Sales Tracking → Leads,Table columns,Lead Status,DIMENSION,"leads.status (chip via pipelineStageInfo() showing real lead_status enum, + editable <select> writing the page's separate STATUS_OPTIONS vocabulary)",,enum,point-in-time,yes,none,inline editable,,LIVE,A,,,"Two overlapping vocabularies on one column, documented as a known data-integrity gap (lead-pipeline.ts:1-14).",LIVE,A
SALE-0096,Sales Tracking → Leads,Table columns,Pre-call vid,STATUS,leads.precall_video_watched (boolean toggle) + generatePreCallVideoLinkFn (copy-link action),,boolean,point-in-time,yes,none,toggle button + copy pre-call video link,,LIVE,A,,,,LIVE,A
SALE-0097,Sales Tracking → Leads,Table columns,Qualification,AGGREGATED,leads.application_data (JSONB) — count of APPLICATION_FIELD_LABELS keys present,"`${APP_COLS.filter(c=>app[c.key]).length}/${APP_COLS.length} filled` (leads.tsx:1418-1421), collapsed view; expands into 11 individual columns below",count (fraction filled),point-in-time,yes,none,ColumnGroupToggle expands to individual answer columns,,LIVE,A,,,Toggle group header for the next 11 rows.,LIVE,A
SALE-0098,Sales Tracking → Leads,Table columns,Experience,RAW,leads.application_data->>'experience' (src/lib/application-fields.ts:9),,text,point-in-time,yes (parent leads row is org-scoped),none,expanded qualification column,,LIVE,A,,,Populated by Typeform ingestion (routes/api/public/typeform.ts per application-fields.ts:3-6).,LIVE,A
SALE-0099,Sales Tracking → Leads,Table columns,Work/School,RAW,leads.application_data->>'work_school',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0100,Sales Tracking → Leads,Table columns,Focus,RAW,leads.application_data->>'focus',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0101,Sales Tracking → Leads,Table columns,Goal,RAW,leads.application_data->>'goal',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0102,Sales Tracking → Leads,Table columns,Candidate Fit,RAW,leads.application_data->>'candidate_fit',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0103,Sales Tracking → Leads,Table columns,Serious,RAW,leads.application_data->>'serious_status',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0104,Sales Tracking → Leads,Table columns,Time,RAW,leads.application_data->>'time',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0105,Sales Tracking → Leads,Table columns,Income,RAW,leads.application_data->>'income',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0106,Sales Tracking → Leads,Table columns,Capital,RAW,leads.application_data->>'capital',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0107,Sales Tracking → Leads,Table columns,Credit,RAW,leads.application_data->>'credit',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0108,Sales Tracking → Leads,Table columns,Commit,RAW,leads.application_data->>'commitment',,text,point-in-time,yes,none,expanded qualification column,,LIVE,A,,,,LIVE,A
SALE-0109,Sales Tracking → Leads,Table columns,Email,RAW,leads.email,,text,point-in-time,yes,none,Lead detail,,LIVE,A,,,,LIVE,A
SALE-0110,Sales Tracking → Leads,Table columns,Setter,DIMENSION,leads.assigned_setter_id resolved via profiles.display_name (src/routes/_authenticated.leads.tsx:639-651),,text (resolved name),point-in-time,yes — profiles query has no org filter itself but ids come from an org-scoped lead set,"profiles (id, display_name) on assigned_setter_id",Lead detail,,LIVE,A,,,"Falls back to 'Unknown' if no matching profile row; 'assigned_setter_id' is an auth.users uuid, a different identity space from team_members.name used elsewhere (leads.tsx:626-631).",LIVE,A
SALE-0111,Sales Tracking → Leads,Table columns,Closer,DIMENSION,"calls.closer_name via the embedded calls(...) join on the leads query, resolved to most-recent-call's closer_name (leads.tsx:554-568)",,text,point-in-time (latest scheduled call),yes (calls rows come from the same org-scoped leads query's embedded join),"calls (closer_id, closer_name, scheduled_for)",Lead detail,,LIVE,A,,,"Explicit code comment: calls.closer_name is preferred over calls.closer_id because the native EOD form never sets closer_id (leads.tsx:141,680-685).",LIVE,A
SALE-0112,Sales Tracking → Leads,Table columns,Phone,RAW,leads.phone,,text,point-in-time,yes,none,Lead detail,,LIVE,A,,,Comment at leads.tsx:1214-1216 notes this was a real fetched-but-unshown column before this build made it its own visible column.,LIVE,A
SALE-0113,Sales Tracking → Leads,Table columns,Handle,RAW,leads.handle,,text,point-in-time,yes,none,Lead detail,,LIVE,A,,,,LIVE,A
SALE-0114,Sales Tracking → Leads,Lead detail,Stage,DIMENSION,pipelineStageInfo(lead.status) — src/routes/_authenticated.leads.tsx:1790-2049 (LeadDetail component):1786,,enum,point-in-time,yes (parent lead row),none,n/a (this IS the drill-down),,LIVE,A,,SALE-0095,Same derivation as the table's Lead Status chip.,LIVE,A
SALE-0115,Sales Tracking → Leads,Lead detail,Source,DIMENSION,"normalizeSocialPlatform(lead.source_connector, lead.source_platform) — leads.tsx:1788,1806-1809",,text (normalized platform),point-in-time,yes,none,n/a,,LIVE,A,,,"Distinct from 'Captured via' (source_connector shown separately, e.g. 'typeform'/'ingest_api') — leads.tsx:1873-1881 comment explains the split.",LIVE,A
SALE-0116,Sales Tracking → Leads,Lead detail,Assigned setter,DIMENSION,"setterName prop, resolved from profiles.display_name as in SALE-0110",,text,point-in-time,yes,profiles,n/a,,LIVE,A,,SALE-0110,,LIVE,A
SALE-0117,Sales Tracking → Leads,Lead detail,Assigned closer,DIMENSION,"lead.closerName (calls.closer_name), as in SALE-0111",,text,point-in-time,yes,calls,n/a,,LIVE,A,,SALE-0111,,LIVE,A
SALE-0118,Sales Tracking → Leads,Lead detail,Lead age,DERIVED,"formatLeadAge(entryAt, now) — src/lib/lead-pipeline.ts:101-108","now - (first_touch_at ?? created_at), coarse one-unit output ('<1h'/'Xh'/'Xd')",duration (text),computed at render time ('now'),yes (inherited),none,n/a,,LIVE,A,,,"Pure function, unit-tested per lead-pipeline.test.ts.",LIVE,A
SALE-0119,Sales Tracking → Leads,Lead detail,Calls on record,AGGREGATED,lead.callCount — count of calls rows embedded-joined per lead (leads.tsx:565),"calls.length for this lead_id (via the leads query's embedded calls(...) select, not a separate per-lead query)",count,all-time (no date filter on the calls join),yes (parent lead is org-scoped; calls join is unfiltered by org but implicitly scoped via lead ownership),calls,n/a (Timeline tab's 'Calls' section shows the actual rows),,LIVE,A,,,Comment at leads.tsx:112-113/lead-pipeline.ts:112 explicitly distinguishes this real per-lead calls count from a raw 'dial attempts' concept this schema does not track per lead.,LIVE,A
SALE-0120,Sales Tracking → Leads,Lead detail,Availability,DERIVED,"deriveLeadAvailability() — src/lib/lead-pipeline.ts:132-168, same function as SALE-0084",bucket + headline text from lead_status + callCount + lastCallAt + operational_work_items callback due date,text (status headline),computed at render time,yes (inherited),operational_work_items,n/a,,LIVE,A,,SALE-0084,,LIVE,A
SALE-0121,Sales Tracking → Leads,Lead detail,Content touches,AGGREGATED,count(lead_content_touches) for this lead_id — leads.tsx:1646-1652,timeline.touches.length,count,"all-time (no range filter, limit 50)","yes — .eq('org_id',orgId!) leads.tsx:1650",content_pieces (inner join for title/platform),"Timeline tab, 'Content path' list","first-touch/last-touch ordering shown (touched_at desc, limited to 50) but no attribution model applied beyond raw chronological list",LIVE,A,,,Capped at 50 most recent touches — a lead with >50 touches would undercount.,LIVE,A
