MetricID,Page,Group,Metric,OriginalStatus,FinalStatus,ChangeType,Phase,Note
SALE-0241,Sales Tracking -> Attribution,Evidence panel,touchpoints,LIVE,LIVE,unchanged,,
SALE-0242,Sales Tracking -> Attribution,Evidence panel,supporting events,LIVE,LIVE,unchanged,,
SALE-0243,Sales Tracking -> Attribution,Evidence panel,Model,LIVE,LIVE,unchanged,,
SALE-0244,Sales Tracking -> Attribution,Evidence panel,Sample,LIVE,LIVE,unchanged,,
SALE-0245,Sales Tracking -> Attribution,Evidence panel,Drill-down,LIVE,LIVE,unchanged,,
SALE-0246,Sales Tracking -> Traffic,Overview,Leads tracked,LIVE,LIVE,unchanged,,
SALE-0247,Sales Tracking -> Traffic,Overview,Qualified leads,LIVE,LIVE,unchanged,,
SALE-0248,Sales Tracking -> Traffic,Overview,Bookings -> shows -> closes,LIVE,LIVE,unchanged,,
SALE-0249,Sales Tracking -> Traffic,Overview,Cash collected,LIVE,LIVE,unchanged,,
SALE-0250,Sales Tracking -> Traffic,Platform mix,Share of leads by platform,LIVE,LIVE,unchanged,,
SALE-0251,Sales Tracking -> Traffic,Per-platform tiles,Leads,LIVE,LIVE,unchanged,,
SALE-0252,Sales Tracking -> Traffic,Per-platform tiles,Qualified,LIVE,LIVE,unchanged,,
SALE-0253,Sales Tracking -> Traffic,Per-platform tiles,Booked,LIVE,LIVE,unchanged,,
SALE-0254,Sales Tracking -> Traffic,Per-platform tiles,Showed,LIVE,LIVE,unchanged,,
SALE-0255,Sales Tracking -> Traffic,Per-platform tiles,Closed,LIVE,LIVE,unchanged,,
SALE-0256,Sales Tracking -> Traffic,Per-platform tiles,Cash,LIVE,LIVE,unchanged,,
SALE-0257,Sales Tracking -> Traffic,Per-platform tiles,Revenue,LIVE,LIVE,unchanged,,
SALE-0258,Sales Tracking -> Traffic,Funnel stage,TOF,LIVE,LIVE,unchanged,,
SALE-0259,Sales Tracking -> Traffic,Funnel stage,MOF,LIVE,LIVE,unchanged,,
SALE-0260,Sales Tracking -> Traffic,Funnel stage,BOF,LIVE,LIVE,unchanged,,
SALE-0261,Sales Tracking -> Traffic,Comparison table,Leads,LIVE,LIVE,unchanged,,
SALE-0262,Sales Tracking -> Traffic,Comparison table,Qualified,LIVE,LIVE,unchanged,,
SALE-0263,Sales Tracking -> Traffic,Comparison table,Bookings,LIVE,LIVE,unchanged,,
SALE-0264,Sales Tracking -> Traffic,Comparison table,Shows,LIVE,LIVE,unchanged,,
SALE-0265,Sales Tracking -> Traffic,Comparison table,Closes,LIVE,LIVE,unchanged,,
SALE-0266,Sales Tracking -> Traffic,Comparison table,Contracted,LIVE,LIVE,unchanged,,
SALE-0267,Sales Tracking -> Traffic,Comparison table,Cash collected,LIVE,LIVE,unchanged,,
SALE-0268,Sales Tracking → Reps → DM Setter,Targets,Outbound DMs,LIVE,LIVE,unchanged,,
SALE-0269,Sales Tracking → Reps → DM Setter,Targets,Inbound DMs,LIVE,LIVE,unchanged,,
SALE-0270,Sales Tracking → Reps → DM Setter,Targets,Replies,LIVE,LIVE,unchanged,,
SALE-0271,Sales Tracking → Reps → DM Setter,Targets,Qualified Conversations,LIVE,LIVE,unchanged,,
SALE-0272,Sales Tracking → Reps → DM Setter,Targets,Calls Booked,LIVE,LIVE,unchanged,,
SALE-0273,Sales Tracking → Reps → DM Setter,Targets,Showed Calls,LIVE,LIVE,unchanged,,
SALE-0274,Sales Tracking → Reps → DM Setter,Key Metrics,Cash Collected,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0275,Sales Tracking → Reps → DM Setter,Key Metrics,Revenue Generated,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0276,Sales Tracking → Reps → DM Setter,Key Metrics,Leads Contacted,LIVE,LIVE,unchanged,,
SALE-0277,Sales Tracking → Reps → DM Setter,Key Metrics,Qualified Convos,LIVE,LIVE,unchanged,,
SALE-0278,Sales Tracking → Reps → DM Setter,Key Metrics,Sets,LIVE,LIVE,unchanged,,
SALE-0279,Sales Tracking → Reps → DM Setter,Key Metrics,Inbound DMs Sent,LIVE,LIVE,unchanged,,
SALE-0280,Sales Tracking → Reps → DM Setter,Key Metrics,Outbound DMs Sent,LIVE,LIVE,unchanged,,
SALE-0281,Sales Tracking → Reps → DM Setter,Key Metrics,Follow-ups Sent,LIVE,LIVE,unchanged,,
SALE-0282,Sales Tracking → Reps → DM Setter,Key Metrics,Calls Booked,LIVE,LIVE,unchanged,,
SALE-0283,Sales Tracking → Reps → DM Setter,Key Metrics,Showed,LIVE,LIVE,unchanged,,
SALE-0284,Sales Tracking → Reps → DM Setter,Key Metrics,Closes,LIVE,LIVE,unchanged,,
SALE-0285,Sales Tracking → Reps → DM Setter,Key Metrics,Disqualified Leads,LIVE,LIVE,unchanged,,
SALE-0286,Sales Tracking → Reps → DM Setter,Key Metrics,Downsells,LIVE,LIVE,unchanged,,
SALE-0287,Sales Tracking → Reps → DM Setter,DM Assets,Links Sent,LIVE,LIVE,unchanged,,
SALE-0288,Sales Tracking → Reps → DM Setter,DM Assets,Links Clicked,LIVE,LIVE,unchanged,,
SALE-0289,Sales Tracking → Reps → DM Setter,DM Assets,Post-booking Visits,LIVE,LIVE,unchanged,,
SALE-0290,Sales Tracking → Reps → DM Setter,DM Assets,Pre-call Watches,LIVE,LIVE,unchanged,,
SALE-0291,Sales Tracking → Reps → DM Setter,Funnels,Inbound Leads → Qualified Convos → Sets; Calls on Calendar → Showed → Closes,LIVE,LIVE,unchanged,,
SALE-0292,Sales Tracking → Reps → DM Setter,Money,Cash Collected vs Revenue Generated,LIVE,LIVE,unchanged,,
SALE-0293,Sales Tracking → Reps → DM Setter,Money,Cash collected rate,LIVE,LIVE,unchanged,,
SALE-0294,Sales Tracking → Reps → DM Setter,Money,Payout owed,LIVE,LIVE,unchanged,,
SALE-0295,Sales Tracking → Reps → DM Setter,Rate charts,Qualified Convo Rate,LIVE,LIVE,unchanged,,
SALE-0296,Sales Tracking → Reps → DM Setter,Rate charts,Set Rate,LIVE,LIVE,unchanged,,
SALE-0297,Sales Tracking → Reps → DM Setter,Rate charts,Show Rate,LIVE,LIVE,unchanged,,
SALE-0298,Sales Tracking → Reps → DM Setter,Rate charts,Close Rate,LIVE,LIVE,unchanged,,
SALE-0299,Sales Tracking → Reps → DM Setter,Reply performance,Replies,LIVE,LIVE,unchanged,,
SALE-0300,Sales Tracking → Reps → DM Setter,Reply performance,Reply Rate,LIVE,LIVE,unchanged,,
SALE-0301,Sales Tracking → Reps → DM Setter,Reply performance,Positive-Intent Replies,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
SALE-0302,Sales Tracking → Reps → DM Setter,Workflow panel,Inbound DMs,PLACEHOLDER,LIVE,status-changed,Phase 1/2/2b,
SALE-0303,Sales Tracking → Reps → DM Setter,Workflow panel,Qualified convos,LIVE,LIVE,unchanged,,
SALE-0304,Sales Tracking → Reps → DM Setter,Workflow panel,Sets,LIVE,LIVE,unchanged,,
SALE-0305,Sales Tracking → Reps → DM Setter,Workflow panel,Booked calls,LIVE,LIVE,unchanged,,
SALE-0306,Sales Tracking → Reps → DM Setter,Workflow panel,Closes,LIVE,LIVE,unchanged,,
SALE-0307,Sales Tracking → Reps → DM Setter,Workflow panel,Cash,LIVE,LIVE,unchanged,,
SALE-0308,Sales Tracking → Reps → DM Setter,DM Source Mix,Platform,NEEDS INTEGRATION,LIVE,status-changed,Phase 1/2/2b,
SALE-0309,Sales Tracking → Reps → DM Setter,DM Source Mix,Conversations,NEEDS INTEGRATION,LIVE,status-changed,Phase 1/2/2b,
SALE-0310,Sales Tracking → Reps → DM Setter,DM Source Mix,Qualified,NEEDS INTEGRATION,LIVE,status-changed,Phase 1/2/2b,
SALE-0311,Sales Tracking → Reps → DM Setter,DM Source Mix,Booked,NEEDS INTEGRATION,LIVE,status-changed,Phase 1/2/2b,
SALE-0312,Sales Tracking → Reps → DM Setter,DM Source Mix,Shows,NEEDS INTEGRATION,LIVE,status-changed,Phase 1/2/2b,
SALE-0313,Sales Tracking → Reps → DM Setter,DM Source Mix,Closes,NEEDS INTEGRATION,LIVE,status-changed,Phase 1/2/2b,
SALE-0314,Sales Tracking → Reps → Inbound Dialer,Targets,Dial Attempts,LIVE,LIVE,unchanged,,
SALE-0315,Sales Tracking → Reps → Inbound Dialer,Targets,Connections,LIVE,LIVE,unchanged,,
SALE-0316,Sales Tracking → Reps → Inbound Dialer,Targets,Leads Contacted,LIVE,LIVE,unchanged,,
SALE-0317,Sales Tracking → Reps → Inbound Dialer,Targets,Qualified Conversations,LIVE,LIVE,unchanged,,
SALE-0318,Sales Tracking → Reps → Inbound Dialer,Targets,Calls Booked,LIVE,LIVE,unchanged,,
SALE-0319,Sales Tracking → Reps → Inbound Dialer,Targets,Showed Calls,LIVE,LIVE,unchanged,,
SALE-0320,Sales Tracking → Reps → Inbound Dialer,Targets,Speed-to-Lead SLA Compliance,NOT AVAILABLE,LIVE,status-changed,Phase 1/2/2b,
SALE-0321,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Cash Collected,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0322,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Revenue Generated,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0323,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Dials,LIVE,LIVE,unchanged,,
SALE-0324,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Connections,LIVE,LIVE,unchanged,,
SALE-0325,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Qualified Convos,LIVE,LIVE,unchanged,,
SALE-0326,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Sets,LIVE,LIVE,unchanged,,
SALE-0327,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Calls Booked,LIVE,LIVE,unchanged,,
SALE-0328,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Showed,LIVE,LIVE,unchanged,,
SALE-0329,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Closes,LIVE,LIVE,unchanged,,
SALE-0330,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Disqualified Leads,LIVE,LIVE,unchanged,,
SALE-0331,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Average Call Length,PARTIALLY CONNECTED,BLOCKED,status-changed,Phase 2 Task 1 / Phase 4,
SALE-0332,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Average Talk Time,PARTIALLY CONNECTED,BLOCKED,status-changed,Phase 2 Task 1 / Phase 4,
SALE-0333,Sales Tracking → Reps → Inbound Dialer,Key Metrics,Downsells,LIVE,LIVE,unchanged,,
SALE-0334,Sales Tracking → Reps → Inbound Dialer,Rate charts,Pickup Rate,LIVE,LIVE,unchanged,,
SALE-0335,Sales Tracking → Reps → Inbound Dialer,Rate charts,Qualified Convo Rate,LIVE,LIVE,unchanged,,
SALE-0336,Sales Tracking → Reps → Inbound Dialer,Rate charts,Set Rate,LIVE,LIVE,unchanged,,
SALE-0337,Sales Tracking → Reps → Inbound Dialer,Rate charts,Show Rate,LIVE,LIVE,unchanged,,
SALE-0338,Sales Tracking → Reps → Inbound Dialer,Rate charts,Close Rate,LIVE,LIVE,unchanged,,
SALE-0339,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,Median Response,LIVE,LIVE,unchanged,,
SALE-0340,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,SLA Compliance,LIVE,LIVE,unchanged,,
SALE-0341,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,Within/Outside SLA,LIVE,LIVE,unchanged,,
SALE-0342,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,response-time buckets (<1min…>1hr),LIVE,LIVE,unchanged,,
SALE-0343,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,per-segment: Connection rate,LIVE,LIVE,unchanged,,
SALE-0344,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,Qualified convo rate,LIVE,LIVE,unchanged,,
SALE-0345,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,Set rate,LIVE,LIVE,unchanged,,
SALE-0346,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,Booked-call rate,LIVE,LIVE,unchanged,,
SALE-0347,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,Show rate,LIVE,LIVE,unchanged,,
SALE-0348,Sales Tracking → Reps → Inbound Dialer,Speed to Lead,Close rate,LIVE,LIVE,unchanged,,
SALE-0349,Sales Tracking → Reps → Inbound Dialer,Active leads to dial,per-tier counts,LIVE,LIVE,unchanged,,
SALE-0350,Sales Tracking → Reps → Inbound Dialer,Workflow panel,Inbound leads,PLACEHOLDER,LIVE,status-changed,Phase 1/2/2b,
SALE-0351,Sales Tracking → Reps → Inbound Dialer,Workflow panel,Qualified convos,LIVE,LIVE,unchanged,,
SALE-0352,Sales Tracking → Reps → Inbound Dialer,Workflow panel,Sets,LIVE,LIVE,unchanged,,
SALE-0353,Sales Tracking → Reps → Inbound Dialer,Workflow panel,Booked calls,LIVE,LIVE,unchanged,,
SALE-0354,Sales Tracking → Reps → Inbound Dialer,Workflow panel,Closes,LIVE,LIVE,unchanged,,
SALE-0355,Sales Tracking → Reps → Inbound Dialer,Workflow panel,Cash,LIVE,LIVE,unchanged,,
SALE-0356,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Leads,LIVE,LIVE,unchanged,,
SALE-0357,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Qualified,LIVE,LIVE,unchanged,,
SALE-0358,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Booked,LIVE,LIVE,unchanged,,
SALE-0359,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Shows,LIVE,LIVE,unchanged,,
SALE-0360,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Closes,LIVE,LIVE,unchanged,,
SALE-0361,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Callbacks Requested,LIVE,LIVE,unchanged,,
SALE-0362,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Due Today,LIVE,LIVE,unchanged,,
SALE-0363,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Completed Today,LIVE,LIVE,unchanged,,
SALE-0364,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,Cancel Rate,LIVE,LIVE,unchanged,,
SALE-0365,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,No-show Rate,LIVE,LIVE,unchanged,,
SALE-0366,Sales Tracking → Reps → Inbound Dialer,Inbound Lead Sources,No-show Recovery,LIVE,LIVE,unchanged,,
SALE-0367,Sales Tracking → Reps → Closer,Targets,Shows,LIVE,LIVE,unchanged,,
SALE-0368,Sales Tracking → Reps → Closer,Targets,Offers Made,LIVE,LIVE,unchanged,,
SALE-0369,Sales Tracking → Reps → Closer,Targets,Closes,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0370,Sales Tracking → Reps → Closer,Targets,Close Rate,LIVE,LIVE,unchanged,,
SALE-0371,Sales Tracking → Reps → Closer,Targets,Cash Collected,LIVE,LIVE,unchanged,,
SALE-0372,Sales Tracking → Reps → Closer,Targets,Contracted Revenue,LIVE,LIVE,unchanged,,
SALE-0373,Sales Tracking → Reps → Closer,Targets,Follow-ups Logged,LIVE,LIVE,unchanged,,
SALE-0374,Sales Tracking → Reps → Closer,Money & closing,Cash Collected,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0375,Sales Tracking → Reps → Closer,Money & closing,Revenue Generated,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0376,Sales Tracking → Reps → Closer,Money & closing,Cash Collection Rate,LIVE,LIVE,unchanged,,
SALE-0377,Sales Tracking → Reps → Closer,Money & closing,Avg Contract Value,LIVE,LIVE,unchanged,,
SALE-0378,Sales Tracking → Reps → Closer,Money & closing,Closes,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0379,Sales Tracking → Reps → Closer,Money & closing,Disqualified Leads,LIVE,LIVE,unchanged,,
SALE-0380,Sales Tracking → Reps → Closer,Money & closing,Calls Booked,LIVE,LIVE,unchanged,,
SALE-0381,Sales Tracking → Reps → Closer,Money & closing,Showed,LIVE,LIVE,unchanged,,
SALE-0382,Sales Tracking → Reps → Closer,Money & closing,Offers Made,LIVE,LIVE,unchanged,,
SALE-0383,Sales Tracking → Reps → Closer,Rate charts,Show Rate,LIVE,LIVE,unchanged,,
SALE-0384,Sales Tracking → Reps → Closer,Rate charts,Offer Rate,LIVE,LIVE,unchanged,,
SALE-0385,Sales Tracking → Reps → Closer,Rate charts,Close Rate,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0386,Sales Tracking → Reps → Closer,Rate charts,Offer → Close Rate,LIVE,LIVE,unchanged,,
SALE-0387,Sales Tracking → Reps → Closer,Payment quality,Avg Cash/Booked,LIVE,LIVE,unchanged,,
SALE-0388,Sales Tracking → Reps → Closer,Payment quality,Avg Cash/Showed,LIVE,LIVE,unchanged,,
SALE-0389,Sales Tracking → Reps → Closer,Payment quality,Avg Cash/Closed,LIVE,LIVE,unchanged,,
SALE-0390,Sales Tracking → Reps → Closer,Payment quality,Deposits,LIVE,LIVE,unchanged,,
SALE-0391,Sales Tracking → Reps → Closer,Payment quality,Deposit Amount,LIVE,LIVE,unchanged,,
SALE-0392,Sales Tracking → Reps → Closer,Payment quality,Deposit → Close,LIVE,LIVE,unchanged,,
SALE-0393,Sales Tracking → Reps → Closer,Payment quality,Avg Deposit %,LIVE,LIVE,unchanged,,
SALE-0394,Sales Tracking → Reps → Closer,Payment quality,Payment Plan Uptake,NEEDS INTEGRATION,LIVE,status-changed,Phase 1/2/2b,New records only — historical calls before the fix can't be backfilled (never inferred).
SALE-0395,Sales Tracking → Reps → Closer,Payment quality,Payment Success Rate,NOT AVAILABLE,NEEDS SCHEMA/JOIN FIX,status-changed,Phase 4 (payments.call_id gap),
SALE-0396,Sales Tracking → Reps → Closer,Payment quality,Failed/Default Rate,NOT AVAILABLE,NEEDS SCHEMA/JOIN FIX,status-changed,Phase 4 (payments.call_id gap),
SALE-0397,Sales Tracking → Reps → Closer,Payment quality,Failed Payments,NOT AVAILABLE,NEEDS SCHEMA/JOIN FIX,status-changed,Phase 4 (payments.call_id gap),
SALE-0398,Sales Tracking → Reps → Closer,Payment quality,Recovered Failed Payments,NOT AVAILABLE,NEEDS SCHEMA/JOIN FIX,status-changed,Phase 4 (payments.call_id gap),
SALE-0399,Sales Tracking → Reps → Closer,Payment quality,Deposit → Full Payment,NOT AVAILABLE,NEEDS SCHEMA/JOIN FIX,status-changed,Phase 4 (payments.call_id gap),
SALE-0400,Sales Tracking → Reps → Closer,Payment quality,Future Scheduled Cash,PLACEHOLDER,NEEDS SCHEMA/JOIN FIX,status-changed,Phase 4 (payments.call_id gap),
SALE-0401,Sales Tracking → Reps → Closer,Payment quality,Downsells,LIVE,LIVE,unchanged,,
SALE-0402,Sales Tracking → Reps → Closer,No-show recovery,No-shows in range,LIVE,LIVE,unchanged,,
SALE-0403,Sales Tracking → Reps → Closer,No-show recovery,No-shows Rebooked,LIVE,LIVE,unchanged,,
SALE-0404,Sales Tracking → Reps → Closer,No-show recovery,Recovered Show Rate,LIVE,LIVE,unchanged,,
SALE-0405,Sales Tracking → Reps → Closer,No-show recovery,Recovered Close Rate,LIVE,LIVE,unchanged,,
SALE-0406,Sales Tracking → Reps → Closer,Call quality,Average Call Duration,LIVE,LIVE,unchanged,,
SALE-0407,Sales Tracking → Reps → Closer,Call quality,Average Talk Time,LIVE,LIVE,unchanged,,
SALE-0408,Sales Tracking → Reps → Closer,Call quality,Talk/Listen Ratio,LIVE,LIVE,unchanged,,
SALE-0409,Sales Tracking → Reps → Closer,Call quality,Calls Reviewed,LIVE,LIVE,unchanged,,
SALE-0410,Sales Tracking → Reps → Closer,Pipeline,Deals Expected to Close,LIVE,LIVE,unchanged,,
SALE-0411,Sales Tracking → Reps → Closer,Pipeline,Active Follow-ups,LIVE,LIVE,unchanged,,
SALE-0412,Sales Tracking → Reps → Closer,Pipeline,Overdue Follow-ups,LIVE,LIVE,unchanged,,
SALE-0413,Sales Tracking → Reps → Closer,Disposition mix,Booked,LIVE,LIVE,unchanged,,
SALE-0414,Sales Tracking → Reps → Closer,Disposition mix,Showed,LIVE,LIVE,unchanged,,
SALE-0415,Sales Tracking → Reps → Closer,Disposition mix,No Show,LIVE,LIVE,unchanged,,
SALE-0416,Sales Tracking → Reps → Closer,Disposition mix,Offer Made,LIVE,LIVE,unchanged,,
SALE-0417,Sales Tracking → Reps → Closer,Disposition mix,Closed Won,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0418,Sales Tracking → Reps → Closer,Disposition mix,DQ,LIVE,LIVE,unchanged,,
SALE-0419,Sales Tracking → Reps → Closer,Disposition mix,Follow Up,LIVE,LIVE,unchanged,,
SALE-0420,Sales Tracking → Reps → Closer,Disposition mix,Rescheduled (canonical); Closed,LIVE,LIVE,unchanged,,
SALE-0421,Sales Tracking → Reps → Closer,Disposition mix,Follow-up,LIVE,LIVE,unchanged,,
SALE-0422,Sales Tracking → Reps → Closer,Disposition mix,Nurture,LIVE,LIVE,unchanged,,
SALE-0423,Sales Tracking → Reps → Closer,Disposition mix,No Decision,LIVE,LIVE,unchanged,,
SALE-0424,Sales Tracking → Reps → Closer,Disposition mix,Price,LIVE,LIVE,unchanged,,
SALE-0425,Sales Tracking → Reps → Closer,Disposition mix,Timing,LIVE,LIVE,unchanged,,
SALE-0426,Sales Tracking → Reps → Closer,Disposition mix,Partner/Spouse,LIVE,LIVE,unchanged,,
SALE-0427,Sales Tracking → Reps → Closer,Disposition mix,Upsell,LIVE,LIVE,unchanged,,
SALE-0428,Sales Tracking → Reps → Closer,Disposition mix,Unqualified,LIVE,LIVE,unchanged,,
SALE-0429,Sales Tracking → Reps → Closer,Disposition mix,Competitor (closer-logged),LIVE,LIVE,unchanged,,
SALE-0430,Sales Tracking → Reps → Closer,Revenue Source Mix,Shows,LIVE,LIVE,unchanged,,
SALE-0431,Sales Tracking → Reps → Closer,Revenue Source Mix,Qualified Opps,LIVE,LIVE,unchanged,,
SALE-0432,Sales Tracking → Reps → Closer,Revenue Source Mix,Offers,LIVE,LIVE,unchanged,,
SALE-0433,Sales Tracking → Reps → Closer,Revenue Source Mix,Closes,LIVE,LIVE,correctness-fix,Phase 1/2,
SALE-0434,Sales Tracking → Reps → Closer,Revenue Source Mix,Close Rate,LIVE,LIVE,unchanged,,
SALE-0435,Sales Tracking → Reps → Closer,Revenue Source Mix,Contracted Revenue,LIVE,LIVE,unchanged,,
SALE-0436,Sales Tracking → Reps → Closer,Revenue Source Mix,Cash Collected,LIVE,LIVE,unchanged,,
SALE-0437,Sales Tracking → Reps → Closer,Revenue Source Mix,Collection Rate,LIVE,LIVE,unchanged,,
SALE-0438,Sales Tracking → Reps → Closer,Revenue Source Mix,Refund/Default Rate,NOT AVAILABLE,NOT AVAILABLE,unchanged,,
CONT-0439,ContentOS -> Content,Top KPI row,Total views,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0440,ContentOS -> Content,Top KPI row,Total reach,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0441,ContentOS -> Content,Top KPI row,Engagement rate,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0442,ContentOS -> Content,Top KPI row,Avg views / post,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0443,ContentOS -> Content,Top KPI row,Followers gained,LIVE,LIVE,unchanged,,
CONT-0444,ContentOS -> Content,Top KPI row,Cash attributed,PLACEHOLDER,PLACEHOLDER,unchanged,,
CONT-0445,ContentOS -> Content,Canonical Content -> Cash,verified paths,LIVE,LIVE,unchanged,,
CONT-0446,ContentOS -> Content,Canonical Content -> Cash,Content,LIVE,LIVE,unchanged,,
CONT-0447,ContentOS -> Content,Canonical Content -> Cash,Platform,LIVE,LIVE,unchanged,,
CONT-0448,ContentOS -> Content,Canonical Content -> Cash,Lead,LIVE,LIVE,unchanged,,
CONT-0449,ContentOS -> Content,Canonical Content -> Cash,Booking,NOT AVAILABLE,LIVE,status-changed,Phase 1/2/2b,
CONT-0450,ContentOS -> Content,Canonical Content -> Cash,Call,LIVE,LIVE,unchanged,,
CONT-0451,ContentOS -> Content,Canonical Content -> Cash,Payment,NOT AVAILABLE,NEEDS SCHEMA/JOIN FIX,status-changed,Phase 4 (payments.call_id gap),
CONT-0452,ContentOS -> Content,Canonical Content -> Cash,Evidence,LIVE,LIVE,unchanged,,
CONT-0453,ContentOS -> Content,Content performance chart,Views,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0454,ContentOS -> Content,Content performance chart,Reach,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0455,ContentOS -> Content,Content performance chart,Interactions,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0456,ContentOS -> Content,Format mix chart,Views by content type,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0457,ContentOS -> Content,Post-level performance,Views,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0458,ContentOS -> Content,Post-level performance,Reach,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0459,ContentOS -> Content,Post-level performance,Engagement,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0460,ContentOS -> Content,Post-level performance,Watch/retention,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0461,ContentOS -> Content,Post-level performance,Replay,LIVE,LIVE,correctness-fix,Phase 1/2,
CONT-0462,ContentOS -> Content,Post-level performance,Cash,PLACEHOLDER,PLACEHOLDER,unchanged,,
CONT-0463,ContentOS -> Content,Content Signals panel,Root cause (Signal/Evidence/Root cause/Implication/Action),LIVE,LIVE,unchanged,,
CONT-0464,ContentOS -> Content,Content Signals panel,Recommended Mix — Educational,LIVE,LIVE,unchanged,,
CONT-0465,ContentOS -> Content,Content Signals panel,Recommended Mix — Credibility,LIVE,LIVE,unchanged,,
CONT-0466,ContentOS -> Content,Content Signals panel,Recommended Mix — Authoritative,LIVE,LIVE,unchanged,,
CONT-0467,ContentOS -> Content,Content Signals panel,Recommended Mix — Relatability (target reels/gap/weight per mechanism),LIVE,LIVE,unchanged,,
CONT-0468,ContentOS -> Content,Content Signals panel,Weekly Check — Reels posted,LIVE,LIVE,unchanged,,
CONT-0469,ContentOS -> Content,Content Signals panel,Weekly Check — categories covered,LIVE,LIVE,unchanged,,
CONT-0470,ContentOS -> Content,Content Signals panel,Untagged pieces,LIVE,LIVE,unchanged,,
CONT-0471,ContentOS -> Content,Content Signals panel,Best/worst mechanism (top/worst mechanism),LIVE,LIVE,unchanged,,
CONT-0472,ContentOS -> Content,Content Signals panel,Drivers Log,LIVE,LIVE,unchanged,,
CONT-0473,ContentOS -> Content,Content Signals panel,AI Bottleneck Read — Finding,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
CONT-0474,ContentOS -> Content,Content Signals panel,AI Bottleneck Read — Evidence,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
CONT-0475,ContentOS -> Content,Content Signals panel,AI Bottleneck Read — Why it matters,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
CONT-0476,ContentOS -> Content,Content Signals panel,AI Bottleneck Read — Recommended action,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
CONT-0477,ContentOS -> Content,Content Signals panel,AI Bottleneck Read — Confidence,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
CONT-0478,ContentOS -> Content,Content Signals panel,AI Bottleneck Read — Sample size,PARTIALLY CONNECTED,PARTIALLY CONNECTED,unchanged,,
CONT-0479,ContentOS -> Content,Content Signals panel,Setter Signals — Beliefs,LIVE,LIVE,unchanged,,
